,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CHERPION Gérard,0.0,0.0,0.0,0.0,0.0,0.0,24930.0,12724.0,0.0,0.0,0.0
CHICHE Guillaume,0.0,0.0,27404.0,29107.0,35907.0,87348.0,42998.0,30111.0,0.0,0.0,0.0
CHOUAT Francis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHRISTOPHE Paul,0.0,0.0,0.0,42759.0,67800.0,78002.0,74515.0,38038.0,0.0,0.0,0.0
CINIERI Dino,0.0,0.0,0.0,0.0,0.0,0.0,31310.0,31310.0,0.0,0.0,0.0
CIOTTI Éric,0.0,0.0,0.0,0.0,0.0,33976.0,34080.0,20306.0,0.0,0.0,0.0
CLAIREAUX Stéphane,0.0,0.0,0.0,0.0,0.0,2000.0,12000.0,3000.0,0.0,0.0,0.0
CLAPOT Mireille,0.0,55627.0,55500.0,62145.0,70000.0,73000.0,73672.0,40800.0,0.0,0.0,0.0
CLÉMENT Jean-Michel,0.0,0.0,16383.0,9333.0,1183.0,2729.0,11251.0,-8414.0,0.0,0.0,0.0
CLOAREC Christine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLAS-ROY Jean-Charles,0.0,51647.0,52301.0,56332.0,53303.0,54980.0,46582.0,540.0,0.0,0.0,0.0
COLBOC Fabienne,0.0,0.0,3139.0,8181.0,7523.0,14634.0,56745.0,12637.0,0.0,0.0,0.0
COLLARD Gilbert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLOMBANI Paul-André,0.0,96897.0,99969.0,98453.0,138429.0,136032.0,172917.0,15481.0,0.0,0.0,0.0
COQUEREL Éric,0.0,0.0,0.0,18000.0,17513.0,17536.0,51570.0,29459.0,0.0,0.0,0.0
CORBIÈRE Alexis,0.0,0.0,16239.0,23580.0,28781.0,30698.0,44039.0,19413.0,0.0,0.0,0.0
CORDIER Pierre,0.0,16376.0,75747.0,77697.0,74746.0,84380.0,84604.0,38178.0,0.0,0.0,0.0
CORMIER-BOULIGEON François,0.0,39600.0,39600.0,39600.0,29500.0,54000.0,47000.0,24750.0,0.0,0.0,0.0
CORNELOUP Josiane,0.0,0.0,0.0,0.0,0.0,249247.0,207764.0,210040.0,0.0,0.0,0.0
CORNUT-GENTILLE François,0.0,0.0,53504.0,55036.0,54779.0,54432.0,54245.0,27000.0,0.0,0.0,0.0
COUILLARD Bérangère,0.0,0.0,24533.0,29633.0,28689.0,36824.0,32133.0,18150.0,0.0,0.0,0.0
CROUZET Michèle,0.0,24970.0,28203.0,29716.0,33507.0,41798.0,42537.0,23817.0,0.0,0.0,0.0
CUBERTAFON Jean-Pierre,0.0,12346.0,35168.0,31959.0,67269.0,18053.0,16931.0,12013.0,0.0,0.0,0.0
DA SILVA Dominique,0.0,6983.0,6967.0,6959.0,6952.0,6944.0,21959.0,13855.0,0.0,0.0,0.0
DALLOZ Marie-Christine,0.0,0.0,0.0,0.0,0.0,17238.0,23094.0,15348.0,0.0,0.0,0.0
DAMAISIN Olivier,0.0,0.0,0.0,0.0,2520.0,3360.0,23820.0,13520.0,0.0,0.0,0.0
DANIEL Yves,0.0,0.0,41588.0,77875.0,76578.0,76259.0,70674.0,32379.0,0.0,0.0,0.0
DASSAULT Olivier,0.0,60416.0,649012.0,658438.0,677542.0,629324.0,655074.0,594688.0,0.0,0.0,0.0
DAVID Dominique,0.0,0.0,70200.0,76500.0,81900.0,74177.0,61197.0,35434.0,0.0,0.0,0.0
DAVID Alain,0.0,0.0,0.0,0.0,125538.0,125515.0,125533.0,67573.0,0.0,0.0,0.0
DE COURSON Yolaine,0.0,60000.0,60000.0,60000.0,66864.0,66864.0,36864.0,4576.0,0.0,0.0,0.0
DE LAVERGNE Célia,0.0,0.0,105348.0,87662.0,81462.0,56199.0,49895.0,5452.0,0.0,0.0,0.0
DE MONTCHALIN Amélie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE TEMMERMAN Jennifer,0.0,0.0,27062.0,34272.0,35463.0,34068.0,34931.0,16833.0,0.0,0.0,0.0
DE VAUCOULEURS Michèle,0.0,25471.0,23809.0,27326.0,33201.0,34318.0,39603.0,20132.0,0.0,0.0,0.0
DE COURSON Charles,0.0,0.0,0.0,0.0,0.0,29950.0,30000.0,30000.0,0.0,0.0,0.0
DEFLESSELLES Bernard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96204.0,0.0,0.0,0.0
DE GANAY Claude,0.0,0.0,26795.0,50262.0,50006.0,49680.0,49483.0,33506.0,0.0,0.0,0.0
DEGOIS Typhanie,0.0,0.0,1924.0,2493.0,1683.0,2368.0,2113.0,1852.0,0.0,0.0,0.0
DE LA RAUDIÈRE Laure,0.0,0.0,83963.0,83054.0,75161.0,70420.0,69373.0,45680.0,0.0,0.0,0.0
DELATTE Marc,0.0,0.0,89218.0,88429.0,96163.0,96654.0,100194.0,0.0,0.0,0.0,0.0
DELATTE Rémi,0.0,0.0,25976.0,-9940.0,-11916.0,8448.0,-8038.0,12738.0,0.0,0.0,0.0
DE LA VERPILLIÈRE Charles,0.0,0.0,2160.0,1140.0,3055.0,33295.0,36583.0,17796.0,0.0,0.0,0.0
DELPON Michel,0.0,0.0,0.0,52546.0,61953.0,74866.0,68081.0,42416.0,0.0,0.0,0.0
DEMILLY Stéphane,0.0,-9404.0,43666.0,40440.0,-4455.0,45376.0,33917.0,14172.0,0.0,0.0,0.0
DÉMOULIN Nicolas,0.0,81120.0,81120.0,81120.0,62120.0,86400.0,86400.0,36000.0,0.0,0.0,0.0
DEPREZ-AUDEBERT Marguerite,0.0,72520.0,81651.0,65873.0,57571.0,59498.0,55096.0,26832.0,0.0,0.0,0.0
DE SARNEZ Marielle,0.0,95530.0,95482.0,95482.0,104697.0,100222.0,100384.0,46979.0,0.0,0.0,0.0
DESCAMPS Béatrice,0.0,0.0,37871.0,40444.0,37918.0,66375.0,75006.0,60289.0,0.0,0.0,0.0
DESCOEUR Vincent,0.0,0.0,65559.0,87283.0,104338.0,121159.0,126259.0,63279.0,0.0,0.0,0.0
DESCROZAILLE Frédéric,0.0,0.0,0.0,0.0,5000.0,60000.0,80000.0,35000.0,0.0,0.0,0.0
DHARRÉVILLE Pierre,0.0,40594.0,41000.0,41401.0,41418.0,42355.0,45476.0,18620.0,0.0,0.0,0.0
DI FILIPPO Fabien,0.0,26702.0,28690.0,35019.0,36867.0,37005.0,39661.0,20619.0,0.0,0.0,0.0
DI POMPEO Christophe,0.0,44592.0,44592.0,44592.0,49392.0,53580.0,57580.0,53580.0,0.0,0.0,0.0
DIARD Éric,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,1369.0,0.0,0.0,0.0
DIRX Benjamin,0.0,40021.0,39339.0,42974.0,44606.0,44590.0,36104.0,0.0,0.0,0.0,0.0
DIVE Julien,0.0,27000.0,27600.0,29400.0,42376.0,47502.0,16344.0,3048.0,0.0,0.0,0.0
DJEBBARI Jean-Baptiste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DO Stéphanie,0.0,0.0,48745.0,54882.0,64194.0,58413.0,58434.0,30113.0,0.0,0.0,0.0
DOMBREVAL Loïc,0.0,0.0,0.0,132336.0,140314.0,150773.0,173820.0,104425.0,0.0,0.0,0.0
DOOR Jean-Pierre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUBIÉ Jeanine,0.0,0.0,78171.0,60422.0,61933.0,70048.0,50181.0,25096.0,0.0,0.0,0.0
DUBOIS Jacqueline,0.0,0.0,28173.0,28173.0,20220.0,0.0,0.0,0.0,0.0,0.0,0.0
DUBOIS Marianne,0.0,68161.0,68161.0,68161.0,68161.0,90658.0,98563.0,111780.0,0.0,0.0,0.0
DUBOST Coralie,0.0,0.0,2600.0,10900.0,6000.0,12400.0,17500.0,7000.0,0.0,0.0,0.0
DUBRÉ-CHIRAT Nicole,0.0,6105.0,6538.0,5558.0,6658.0,6097.0,6100.0,2044.0,0.0,0.0,0.0
DUBY-MULLER Virginie,0.0,0.0,0.0,0.0,0.0,27056.0,37172.0,18821.0,0.0,0.0,0.0
DUFEU SCHUBERT Audrey,0.0,0.0,0.0,0.0,0.0,0.0,89522.0,62842.0,0.0,0.0,0.0
DUFRÈGNE Jean-Paul,0.0,0.0,59012.0,58525.0,79976.0,50914.0,41762.0,16177.0,0.0,0.0,0.0
DUMAS Frédérique,0.0,0.0,360000.0,360000.0,473000.0,337286.0,148778.0,45600.0,0.0,0.0,0.0
DUMAS Françoise,0.0,0.0,70199.0,85655.0,63350.0,55171.0,55659.0,30702.0,0.0,0.0,0.0
DUMONT Pierre-Henri,0.0,0.0,10000.0,33800.0,34570.0,58815.0,66113.0,36415.0,0.0,0.0,0.0
DUMONT Laurence,0.0,0.0,2127.0,10033.0,11248.0,12094.0,8162.0,4276.0,0.0,0.0,0.0
DUNOYER Philippe,0.0,68380.0,68380.0,68380.0,50362.0,29162.0,80447.0,73155.0,0.0,0.0,0.0
DUPONT Stella,0.0,55197.0,55197.0,55197.0,54793.0,31906.0,58282.0,28022.0,0.0,0.0,0.0
DUPONT-AIGNAN Nicolas,0.0,0.0,29125.0,26210.0,26540.0,24532.0,26445.0,16611.0,0.0,0.0,0.0
DUVERGÉ Bruno,0.0,38908.0,75142.0,49278.0,62562.0,54918.0,70296.0,35227.0,0.0,0.0,0.0
EL GUERRAB M'jid,0.0,0.0,101672.0,131479.0,92342.0,51140.0,54685.0,28836.0,0.0,0.0,0.0
EL HAÏRY Sarah,0.0,4571.0,1263.0,12816.0,26211.0,44598.0,58919.0,30496.0,0.0,0.0,0.0
ELIAOU Jean-François,0.0,113341.0,111073.0,110271.0,114626.0,117962.0,119662.0,122218.0,0.0,0.0,0.0
ELIMAS Nathalie,0.0,24000.0,24000.0,24000.0,30036.0,50170.0,51170.0,33913.0,0.0,0.0,0.0
ERRANTE Sophie,0.0,0.0,0.0,0.0,253.0,253.0,253.0,253.0,0.0,0.0,0.0
ESSAYAN Nadia,0.0,0.0,19682.0,20740.0,20977.0,20837.0,24287.0,22698.0,0.0,0.0,0.0
EUZET Christophe,0.0,0.0,65200.0,37700.0,43400.0,44300.0,50400.0,23100.0,0.0,0.0,0.0
EVRARD José,0.0,0.0,0.0,0.0,1756.0,28796.0,37787.0,22358.0,0.0,0.0,0.0
FABRE Catherine,0.0,0.0,38000.0,38000.0,39302.0,40720.0,41585.0,21840.0,0.0,0.0,0.0
FAJGELES Élise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FALORNI Olivier,0.0,0.0,26795.0,50262.0,50005.0,49680.0,49483.0,33506.0,0.0,0.0,0.0
FANGET Michel,0.0,89360.0,89360.0,89360.0,89360.0,89360.0,111740.0,102860.0,0.0,0.0,0.0
FASQUELLE Daniel,0.0,0.0,99391.0,149222.0,137293.0,126125.0,131452.0,51788.0,0.0,0.0,0.0
FAUCILLON Elsa,0.0,0.0,0.0,30589.0,31928.0,53693.0,61026.0,34284.0,0.0,0.0,0.0
